# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
W3030N00140	Gene_7254_8309	W303_0N00140	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030N00150	Gene_9006_11813	W303_0N00150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030N00160	Gene_11971_13344	W303_0N00160	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030P00140	Gene_7673_12982	W303_0P00140	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030P00150	Gene_13378_14529	W303_0P00150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030P00160	Gene_17063_19000	W303_0P00160	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030P00170	Gene_20728_22410	W303_0P00170	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030W00100	Gene_733_1839	W303_0W00100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030W00110	Gene_2822_4465	W303_0W00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030W00120	Gene_4811_5626	W303_0W00120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030Y00100	Gene_1564_2436	W303_0Y00100	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0
W3030Y00110	Gene_2739_3095	W303_0Y00110	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6
W3030Y00120	Gene_3424_4839	W303_0Y00120	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0
W3030Y00130	Gene_5388_6281	W303_0Y00130	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0
W3030Z00100	Gene_2039_4009	W303_0Z00100	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0
W3030Z00110	Gene_4268_6367	W303_0Z00110	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5
