Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_000766475.2	Primary Assembly	Un			JRIU01000244.1	Chromosome			unplaced-scaffold	40110			scaffold-335
GCA_000766475.2	Primary Assembly	Un			JRIU01000245.1	Chromosome			unplaced-scaffold	336			scaffold-336
GCA_000766475.2	Primary Assembly	Un			JRIU01000246.1	Chromosome			unplaced-scaffold	38089			scaffold-337
GCA_000766475.2	Primary Assembly	Un			JRIU01000247.1	Chromosome			unplaced-scaffold	126718			scaffold-341
GCA_000766475.2	Primary Assembly	Un			JRIU01000248.1	Chromosome			unplaced-scaffold	240			scaffold-342
GCA_000766475.2	Primary Assembly	Un			JRIU01000249.1	Chromosome			unplaced-scaffold	103684			scaffold-345
GCA_000766475.2	Primary Assembly	Un			JRIU01000250.1	Chromosome			unplaced-scaffold	1881			scaffold-346
GCA_000766475.2	Primary Assembly	Un			JRIU01000251.1	Chromosome			unplaced-scaffold	3620			scaffold-347
GCA_000766475.2	Primary Assembly	Un			JRIU01000252.1	Chromosome			unplaced-scaffold	102309			scaffold-351
GCA_000766475.2	Primary Assembly	Un			JRIU01000253.1	Chromosome			unplaced-scaffold	162921			scaffold-353
GCA_000766475.2	Primary Assembly	Un			JRIU01000254.1	Chromosome			unplaced-scaffold	4950			scaffold-355
GCA_000766475.2	Primary Assembly	Un			JRIU01000255.1	Chromosome			unplaced-scaffold	68639			scaffold-357
GCA_000766475.2	Primary Assembly	Un			JRIU01000256.1	Chromosome			unplaced-scaffold	1724			scaffold-358
GCA_000766475.2	Primary Assembly	Un			JRIU01000257.1	Chromosome			unplaced-scaffold	3663			scaffold-361
GCA_000766475.2	Primary Assembly	Un			JRIU01000258.1	Chromosome			unplaced-scaffold	2557			scaffold-362
GCA_000766475.2	Primary Assembly	Un			JRIU01000259.1	Chromosome			unplaced-scaffold	39731			scaffold-365
GCA_000766475.2	Primary Assembly	Un			JRIU01000260.1	Chromosome			unplaced-scaffold	1073			scaffold-368
GCA_000766475.2	Primary Assembly	Un			JRIU01000261.1	Chromosome			unplaced-scaffold	322			scaffold-369
GCA_000766475.2	Primary Assembly	Un			JRIU01000262.1	Chromosome			unplaced-scaffold	3968			scaffold-370
GCA_000766475.2	Primary Assembly	Un			JRIU01000263.1	Chromosome			unplaced-scaffold	1415			scaffold-373
GCA_000766475.2	Primary Assembly	Un			JRIU01000264.1	Chromosome			unplaced-scaffold	2795			scaffold-375
GCA_000766475.2	Primary Assembly	Un			JRIU01000265.1	Chromosome			unplaced-scaffold	16337			scaffold-379
GCA_000766475.2	Primary Assembly	Un			JRIU01000266.1	Chromosome			unplaced-scaffold	724			unplaced-25
GCA_000766475.2	Primary Assembly	Un			JRIU01000267.1	Chromosome			unplaced-scaffold	421			unplaced-29
GCA_000766475.2	Primary Assembly	Un			JRIU01000268.1	Chromosome			unplaced-scaffold	257			unplaced-33
GCA_000766475.2	Primary Assembly	Un			JRIU01000269.1	Chromosome			unplaced-scaffold	262			unplaced-40
GCA_000766475.2	Primary Assembly	Un			JRIU01000270.1	Chromosome			unplaced-scaffold	251			unplaced-52
GCA_000766475.2	Primary Assembly	Un			JRIU01000271.1	Chromosome			unplaced-scaffold	342			unplaced-53
GCA_000766475.2	Primary Assembly	Un			JRIU01000272.1	Chromosome			unplaced-scaffold	6186			unplaced-62
GCA_000766475.2	Primary Assembly	Un			JRIU01000273.1	Chromosome			unplaced-scaffold	252			unplaced-65
GCA_000766475.2	Primary Assembly	Un			JRIU01000274.1	Chromosome			unplaced-scaffold	247			unplaced-68
GCA_000766475.2	Primary Assembly	Un			JRIU01000275.1	Chromosome			unplaced-scaffold	210			unplaced-80
GCA_000766475.2	Primary Assembly	Un			JRIU01000276.1	Chromosome			unplaced-scaffold	300			unplaced-91
GCA_000766475.2	Primary Assembly	Un			JRIU01000277.1	Chromosome			unplaced-scaffold	212			unplaced-93
GCA_000766475.2	Primary Assembly	Un			JRIU01000278.1	Chromosome			unplaced-scaffold	387			unplaced-102
GCA_000766475.2	Primary Assembly	Un			JRIU01000279.1	Chromosome			unplaced-scaffold	229			unplaced-121
GCA_000766475.2	Primary Assembly	Un			JRIU01000280.1	Chromosome			unplaced-scaffold	226			unplaced-144
GCA_000766475.2	Primary Assembly	Un			JRIU01000281.1	Chromosome			unplaced-scaffold	302			unplaced-148
GCA_000766475.2	Primary Assembly	Un			JRIU01000282.1	Chromosome			unplaced-scaffold	251			unplaced-149
GCA_000766475.2	Primary Assembly	Un			JRIU01000283.1	Chromosome			unplaced-scaffold	981			unplaced-151
GCA_000766475.2	Primary Assembly	Un			JRIU01000284.1	Chromosome			unplaced-scaffold	5502			unplaced-152
GCA_000766475.2	Primary Assembly	Un			JRIU01000285.1	Chromosome			unplaced-scaffold	278			unplaced-154
GCA_000766475.2	Primary Assembly	Un			JRIU01000286.1	Chromosome			unplaced-scaffold	1314			unplaced-155
GCA_000766475.2	Primary Assembly	Un			JRIU01000287.1	Chromosome			unplaced-scaffold	331			unplaced-156
GCA_000766475.2	Primary Assembly	Un			JRIU01000288.1	Chromosome			unplaced-scaffold	2257			unplaced-157
GCA_000766475.2	Primary Assembly	Un			JRIU01000289.1	Chromosome			unplaced-scaffold	219			unplaced-158
GCA_000766475.2	Primary Assembly	Un			JRIU01000290.1	Chromosome			unplaced-scaffold	225			unplaced-159
GCA_000766475.2	Primary Assembly	Un			JRIU01000291.1	Chromosome			unplaced-scaffold	214			unplaced-160
GCA_000766475.2	Primary Assembly	Un			JRIU01000292.1	Chromosome			unplaced-scaffold	2913			unplaced-161
GCA_000766475.2	Primary Assembly	Un			JRIU01000293.1	Chromosome			unplaced-scaffold	449			unplaced-162
GCA_000766475.2	Primary Assembly	Un			JRIU01000294.1	Chromosome			unplaced-scaffold	338			unplaced-163
GCA_000766475.2	Primary Assembly	Un			JRIU01000295.1	Chromosome			unplaced-scaffold	1382			unplaced-164
GCA_000766475.2	Primary Assembly	Un			JRIU01000296.1	Chromosome			unplaced-scaffold	312			unplaced-166
GCA_000766475.2	Primary Assembly	Un			JRIU01000297.1	Chromosome			unplaced-scaffold	3237			unplaced-167
GCA_000766475.2	Primary Assembly	Un			JRIU01000298.1	Chromosome			unplaced-scaffold	896			unplaced-168
GCA_000766475.2	Primary Assembly	Un			JRIU01000299.1	Chromosome			unplaced-scaffold	260			unplaced-169
GCA_000766475.2	Primary Assembly	Un			JRIU01000300.1	Chromosome			unplaced-scaffold	272			unplaced-170
GCA_000766475.2	Primary Assembly	Un			JRIU01000301.1	Chromosome			unplaced-scaffold	557			unplaced-171
GCA_000766475.2	Primary Assembly	Un			JRIU01000302.1	Chromosome			unplaced-scaffold	2264			unplaced-172
GCA_000766475.2	Primary Assembly	Un			JRIU01000303.1	Chromosome			unplaced-scaffold	667			unplaced-173
GCA_000766475.2	Primary Assembly	Un			JRIU01000304.1	Chromosome			unplaced-scaffold	265			unplaced-174
GCA_000766475.2	Primary Assembly	Un			JRIU01000305.1	Chromosome			unplaced-scaffold	311			unplaced-175
GCA_000766475.2	Primary Assembly	Un			JRIU01000306.1	Chromosome			unplaced-scaffold	2554			unplaced-176
GCA_000766475.2	Primary Assembly	Un			JRIU01000307.1	Chromosome			unplaced-scaffold	368			unplaced-177
GCA_000766475.2	Primary Assembly	Un			JRIU01000308.1	Chromosome			unplaced-scaffold	318			unplaced-178
GCA_000766475.2	Primary Assembly	Un			JRIU01000309.1	Chromosome			unplaced-scaffold	4416			unplaced-179
GCA_000766475.2	Primary Assembly	Un			JRIU01000310.1	Chromosome			unplaced-scaffold	386			unplaced-180
GCA_000766475.2	Primary Assembly	Un			JRIU01000311.1	Chromosome			unplaced-scaffold	2300			unplaced-183
GCA_000766475.2	Primary Assembly	Un			JRIU01000312.1	Chromosome			unplaced-scaffold	1697			unplaced-184
GCA_000766475.2	Primary Assembly	Un			JRIU01000313.1	Chromosome			unplaced-scaffold	2343			unplaced-185
GCA_000766475.2	Primary Assembly	Un			JRIU01000314.1	Chromosome			unplaced-scaffold	414			unplaced-186
GCA_000766475.2	Primary Assembly	Un			JRIU01000315.1	Chromosome			unplaced-scaffold	1982			unplaced-187
GCA_000766475.2	Primary Assembly	Un			JRIU01000316.1	Chromosome			unplaced-scaffold	1799			unplaced-189
GCA_000766475.2	Primary Assembly	Un			JRIU01000317.1	Chromosome			unplaced-scaffold	1483			unplaced-191
GCA_000766475.2	Primary Assembly	Un			JRIU01000318.1	Chromosome			unplaced-scaffold	2936			unplaced-192
GCA_000766475.2	Primary Assembly	Un			JRIU01000319.1	Chromosome			unplaced-scaffold	15446			unplaced-193
GCA_000766475.2	Primary Assembly	Un			JRIU01000320.1	Chromosome			unplaced-scaffold	19759			unplaced-195
GCA_000766475.2	Primary Assembly	Un			JRIU01000321.1	Chromosome			unplaced-scaffold	2960			unplaced-196
GCA_000766475.2	Primary Assembly	Un			JRIU01000322.1	Chromosome			unplaced-scaffold	3431			unplaced-197
GCA_000766475.2	Primary Assembly	Un			JRIU01000323.1	Chromosome			unplaced-scaffold	1059			unplaced-198
GCA_000766475.2	Primary Assembly	Un			JRIU01000324.1	Chromosome			unplaced-scaffold	4966			unplaced-199
GCA_000766475.2	Primary Assembly	Un			JRIU01000325.1	Chromosome			unplaced-scaffold	1039			unplaced-200
GCA_000766475.2	Primary Assembly	Un			JRIU01000326.1	Chromosome			unplaced-scaffold	1240			unplaced-201
GCA_000766475.2	Primary Assembly	Un			JRIU01000327.1	Chromosome			unplaced-scaffold	969			unplaced-202
GCA_000766475.2	Primary Assembly	Un			JRIU01000328.1	Chromosome			unplaced-scaffold	217			unplaced-209
GCA_000766475.2	Primary Assembly	Un			JRIU01000329.1	Chromosome			unplaced-scaffold	241			unplaced-215
GCA_000766475.2	Primary Assembly	Un			JRIU01000330.1	Chromosome			unplaced-scaffold	256			unplaced-217
GCA_000766475.2	Primary Assembly	Un			JRIU01000331.1	Chromosome			unplaced-scaffold	901			unplaced-229
GCA_000766475.2	Primary Assembly	Un			JRIU01000332.1	Chromosome			unplaced-scaffold	386			unplaced-231
GCA_000766475.2	Primary Assembly	Un			JRIU01000333.1	Chromosome			unplaced-scaffold	785			unplaced-243
GCA_000766475.2	Primary Assembly	Un			JRIU01000334.1	Chromosome			unplaced-scaffold	433			unplaced-253
GCA_000766475.2	Primary Assembly	Un			JRIU01000335.1	Chromosome			unplaced-scaffold	584			unplaced-256
GCA_000766475.2	Primary Assembly	Un			JRIU01000336.1	Chromosome			unplaced-scaffold	216			unplaced-263
GCA_000766475.2	Primary Assembly	Un			JRIU01000337.1	Chromosome			unplaced-scaffold	282			unplaced-274
GCA_000766475.2	Primary Assembly	Un			JRIU01000338.1	Chromosome			unplaced-scaffold	479			unplaced-289
GCA_000766475.2	Primary Assembly	Un			JRIU01000339.1	Chromosome			unplaced-scaffold	387			unplaced-298
GCA_000766475.2	Primary Assembly	Un			JRIU01000340.1	Chromosome			unplaced-scaffold	278			unplaced-299
GCA_000766475.2	Primary Assembly	Un			JRIU01000341.1	Chromosome			unplaced-scaffold	236			unplaced-311
GCA_000766475.2	Primary Assembly	Un			JRIU01000342.1	Chromosome			unplaced-scaffold	303			unplaced-328
GCA_000766475.2	Primary Assembly	Un			JRIU01000343.1	Chromosome			unplaced-scaffold	220			unplaced-332
GCA_000766475.2	Primary Assembly	Un			JRIU01000344.1	Chromosome			unplaced-scaffold	210			unplaced-333
GCA_000766475.2	Primary Assembly	Un			JRIU01000345.1	Chromosome			unplaced-scaffold	344			unplaced-343
GCA_000766475.2	Primary Assembly	Un			JRIU01000346.1	Chromosome			unplaced-scaffold	394			unplaced-353
GCA_000766475.2	Primary Assembly	Un			JRIU01000347.1	Chromosome			unplaced-scaffold	210			unplaced-360
GCA_000766475.2	Primary Assembly	Un			JRIU01000348.1	Chromosome			unplaced-scaffold	216			unplaced-371
GCA_000766475.2	Primary Assembly	Un			JRIU01000349.1	Chromosome			unplaced-scaffold	309			unplaced-377
GCA_000766475.2	Primary Assembly	Un			JRIU01000350.1	Chromosome			unplaced-scaffold	730			unplaced-378
GCA_000766475.2	Primary Assembly	Un			JRIU01000351.1	Chromosome			unplaced-scaffold	781			unplaced-385
GCA_000766475.2	Primary Assembly	Un			JRIU01000352.1	Chromosome			unplaced-scaffold	244			unplaced-393
GCA_000766475.2	Primary Assembly	Un			JRIU01000353.1	Chromosome			unplaced-scaffold	222			unplaced-394
GCA_000766475.2	Primary Assembly	Un			JRIU01000354.1	Chromosome			unplaced-scaffold	330			unplaced-402
GCA_000766475.2	Primary Assembly	Un			JRIU01000355.1	Chromosome			unplaced-scaffold	367			unplaced-403
GCA_000766475.2	Primary Assembly	Un			JRIU01000356.1	Chromosome			unplaced-scaffold	344			unplaced-415
GCA_000766475.2	Primary Assembly	Un			JRIU01000357.1	Chromosome			unplaced-scaffold	607			unplaced-440
GCA_000766475.2	Primary Assembly	Un			JRIU01000358.1	Chromosome			unplaced-scaffold	473			unplaced-441
GCA_000766475.2	Primary Assembly	Un			JRIU01000359.1	Chromosome			unplaced-scaffold	1539			unplaced-442
GCA_000766475.2	Primary Assembly	Un			JRIU01000360.1	Chromosome			unplaced-scaffold	466			unplaced-468
GCA_000766475.2	Primary Assembly	Un			JRIU01000361.1	Chromosome			unplaced-scaffold	329			unplaced-477
GCA_000766475.2	Primary Assembly	Un			JRIU01000362.1	Chromosome			unplaced-scaffold	346			unplaced-483
GCA_000766475.2	Primary Assembly	Un			JRIU01000363.1	Chromosome			unplaced-scaffold	639			unplaced-484
GCA_000766475.2	Primary Assembly	Un			JRIU01000364.1	Chromosome			unplaced-scaffold	1260			unplaced-492
GCA_000766475.2	Primary Assembly	Un			JRIU01000365.1	Chromosome			unplaced-scaffold	1642			unplaced-528
GCA_000766475.2	Primary Assembly	Un			JRIU01000366.1	Chromosome			unplaced-scaffold	243			unplaced-529
GCA_000766475.2	Primary Assembly	Un			JRIU01000367.1	Chromosome			unplaced-scaffold	203			unplaced-530
GCA_000766475.2	Primary Assembly	Un			JRIU01000368.1	Chromosome			unplaced-scaffold	300			unplaced-535
GCA_000766475.2	Primary Assembly	Un			JRIU01000369.1	Chromosome			unplaced-scaffold	339			unplaced-540
GCA_000766475.2	Primary Assembly	Un			JRIU01000370.1	Chromosome			unplaced-scaffold	1261			unplaced-575
GCA_000766475.2	Primary Assembly	Un			JRIU01000371.1	Chromosome			unplaced-scaffold	283			unplaced-577
GCA_000766475.2	non-nuclear	MT			JRIU01000415.1	Mitochondrion			unlocalized-scaffold	230		44	unplaced-6
GCA_000766475.2	non-nuclear	MT			JRIU01000414.1	Mitochondrion			unlocalized-scaffold	2135		44	unplaced-533
GCA_000766475.2	non-nuclear	MT			JRIU01000413.1	Mitochondrion			unlocalized-scaffold	686		44	unplaced-50
GCA_000766475.2	non-nuclear	MT			JRIU01000412.1	Mitochondrion			unlocalized-scaffold	266		44	unplaced-466
GCA_000766475.2	non-nuclear	MT			JRIU01000411.1	Mitochondrion			unlocalized-scaffold	1143		44	unplaced-463
GCA_000766475.2	non-nuclear	MT			JRIU01000410.1	Mitochondrion			unlocalized-scaffold	201		44	unplaced-458
GCA_000766475.2	non-nuclear	MT			JRIU01000409.1	Mitochondrion			unlocalized-scaffold	593		44	unplaced-454
GCA_000766475.2	non-nuclear	MT			JRIU01000408.1	Mitochondrion			unlocalized-scaffold	1121		44	unplaced-434
GCA_000766475.2	non-nuclear	MT			JRIU01000407.1	Mitochondrion			unlocalized-scaffold	1511		44	unplaced-418
GCA_000766475.2	non-nuclear	MT			JRIU01000406.1	Mitochondrion			unlocalized-scaffold	4960		44	unplaced-416
GCA_000766475.2	non-nuclear	MT			JRIU01000405.1	Mitochondrion			unlocalized-scaffold	709		44	unplaced-406
GCA_000766475.2	non-nuclear	MT			JRIU01000404.1	Mitochondrion			unlocalized-scaffold	3602		44	unplaced-399
GCA_000766475.2	non-nuclear	MT			JRIU01000403.1	Mitochondrion			unlocalized-scaffold	1135		44	unplaced-376
GCA_000766475.2	non-nuclear	MT			JRIU01000402.1	Mitochondrion			unlocalized-scaffold	2698		44	unplaced-321
GCA_000766475.2	non-nuclear	MT			JRIU01000401.1	Mitochondrion			unlocalized-scaffold	2066		44	unplaced-3
GCA_000766475.2	non-nuclear	MT			JRIU01000400.1	Mitochondrion			unlocalized-scaffold	6091		44	unplaced-31
GCA_000766475.2	non-nuclear	MT			JRIU01000399.1	Mitochondrion			unlocalized-scaffold	3589		44	unplaced-293
GCA_000766475.2	non-nuclear	MT			JRIU01000398.1	Mitochondrion			unlocalized-scaffold	724		44	unplaced-246
GCA_000766475.2	non-nuclear	MT			JRIU01000397.1	Mitochondrion			unlocalized-scaffold	1785		44	unplaced-194
GCA_000766475.2	non-nuclear	MT			JRIU01000396.1	Mitochondrion			unlocalized-scaffold	4047		44	unplaced-190
GCA_000766475.2	non-nuclear	MT			JRIU01000395.1	Mitochondrion			unlocalized-scaffold	314		44	unplaced-188
GCA_000766475.2	non-nuclear	MT			JRIU01000394.1	Mitochondrion			unlocalized-scaffold	3612		44	unplaced-182
GCA_000766475.2	non-nuclear	MT			JRIU01000393.1	Mitochondrion			unlocalized-scaffold	250		44	unplaced-153
GCA_000766475.2	non-nuclear	MT			JRIU01000392.1	Mitochondrion			unlocalized-scaffold	2426		44	unplaced-119
GCA_000766475.2	non-nuclear	MT			JRIU01000391.1	Mitochondrion			unlocalized-scaffold	255		44	scaffold-374
GCA_000766475.2	non-nuclear	MT			JRIU01000390.1	Mitochondrion			unlocalized-scaffold	1850		44	scaffold-367
GCA_000766475.2	non-nuclear	MT			JRIU01000389.1	Mitochondrion			unlocalized-scaffold	306		44	scaffold-356
GCA_000766475.2	non-nuclear	MT			JRIU01000388.1	Mitochondrion			unlocalized-scaffold	1501		44	scaffold-35
GCA_000766475.2	non-nuclear	MT			JRIU01000387.1	Mitochondrion			unlocalized-scaffold	366		44	scaffold-334
GCA_000766475.2	non-nuclear	MT			JRIU01000386.1	Mitochondrion			unlocalized-scaffold	2079		44	scaffold-32
GCA_000766475.2	non-nuclear	MT			JRIU01000385.1	Mitochondrion			unlocalized-scaffold	768		44	scaffold-326
GCA_000766475.2	non-nuclear	MT			JRIU01000384.1	Mitochondrion			unlocalized-scaffold	908		44	scaffold-312
GCA_000766475.2	non-nuclear	MT			JRIU01000383.1	Mitochondrion			unlocalized-scaffold	2264		44	scaffold-302
GCA_000766475.2	non-nuclear	MT			JRIU01000382.1	Mitochondrion			unlocalized-scaffold	325		44	scaffold-30
GCA_000766475.2	non-nuclear	MT			JRIU01000381.1	Mitochondrion			unlocalized-scaffold	2028		44	scaffold-254
GCA_000766475.2	non-nuclear	MT			JRIU01000380.1	Mitochondrion			unlocalized-scaffold	3356		44	scaffold-233
GCA_000766475.2	non-nuclear	MT			JRIU01000379.1	Mitochondrion			unlocalized-scaffold	319		44	scaffold-222
GCA_000766475.2	non-nuclear	MT			JRIU01000378.1	Mitochondrion			unlocalized-scaffold	2401		44	scaffold-217
GCA_000766475.2	non-nuclear	MT			JRIU01000377.1	Mitochondrion			unlocalized-scaffold	263		44	scaffold-2
GCA_000766475.2	non-nuclear	MT			JRIU01000376.1	Mitochondrion			unlocalized-scaffold	766		44	scaffold-184
GCA_000766475.2	non-nuclear	MT			JRIU01000375.1	Mitochondrion			unlocalized-scaffold	2465		44	scaffold-180
GCA_000766475.2	non-nuclear	MT			JRIU01000374.1	Mitochondrion			unlocalized-scaffold	746		44	scaffold-166
GCA_000766475.2	non-nuclear	MT			JRIU01000373.1	Mitochondrion			unlocalized-scaffold	967		44	scaffold-133
GCA_000766475.2	non-nuclear	MT			JRIU01000372.1	Mitochondrion			unlocalized-scaffold	844		44	scaffold-110
