VCF_Chromosome	SnpEff_Chromosome	JRIU_Number	Scaffold_Number	Mapping_Type	GenBank_File
JRIU01000047.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000037.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000027.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000017.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000007.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000407.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000397.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000387.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000377.1	w303_scaffold_7	7	7	Number match	w303_13Apr2025_scaffold_7.genbank
JRIU01000368.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000358.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000348.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000338.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000328.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000318.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000308.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000298.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000288.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000278.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000268.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000258.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000248.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000238.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000228.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000218.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000208.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000198.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000188.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000178.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000168.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000158.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000148.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000138.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000128.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000118.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000108.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000098.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000088.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000078.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000068.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000058.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000048.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000038.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000028.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000018.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000008.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000408.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000398.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000388.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000378.1	w303_scaffold_8	8	8	Number match	w303_13Apr2025_scaffold_8.genbank
JRIU01000369.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000359.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000349.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000339.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000329.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000319.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000309.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000299.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000289.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000279.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000269.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000259.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000249.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000239.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000229.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000219.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000209.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000199.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000189.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000179.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000169.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000159.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000149.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000139.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000129.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000119.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000109.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000099.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000089.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000079.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000069.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000059.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000049.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000039.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000029.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000019.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000009.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000409.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000399.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000389.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000379.1	w303_scaffold_9	9	9	Number match	w303_13Apr2025_scaffold_9.genbank
JRIU01000370.1	w303_scaffold_10	0	10	Sequential	w303_13Apr2025_scaffold_10.genbank
JRIU01000360.1	w303_scaffold_11	0	11	Sequential	w303_13Apr2025_scaffold_11.genbank
JRIU01000350.1	w303_scaffold_12	0	12	Sequential	w303_13Apr2025_scaffold_12.genbank
JRIU01000340.1	w303_scaffold_13	0	13	Sequential	w303_13Apr2025_scaffold_13.genbank
JRIU01000330.1	w303_scaffold_14	0	14	Sequential	w303_13Apr2025_scaffold_14.genbank
JRIU01000320.1	w303_scaffold_15	0	15	Sequential	w303_13Apr2025_scaffold_15.genbank
JRIU01000310.1	w303_scaffold_16	0	16	Sequential	w303_13Apr2025_scaffold_16.genbank
JRIU01000300.1	w303_scaffold_17	0	17	Sequential	w303_13Apr2025_scaffold_17.genbank
JRIU01000290.1	w303_scaffold_18	0	18	Sequential	w303_13Apr2025_scaffold_18.genbank
JRIU01000280.1	w303_scaffold_19	0	19	Sequential	w303_13Apr2025_scaffold_19.genbank
JRIU01000270.1	w303_scaffold_20	0	20	Sequential	w303_13Apr2025_scaffold_20.genbank
JRIU01000260.1	w303_scaffold_21	0	21	Sequential	w303_13Apr2025_scaffold_21.genbank
JRIU01000250.1	w303_scaffold_22	0	22	Sequential	w303_13Apr2025_scaffold_22.genbank
JRIU01000240.1	w303_scaffold_23	0	23	Sequential	w303_13Apr2025_scaffold_23.genbank
JRIU01000230.1	w303_scaffold_24	0	24	Sequential	w303_13Apr2025_scaffold_24.genbank
JRIU01000220.1	w303_scaffold_25	0	25	Sequential	w303_13Apr2025_scaffold_25.genbank
JRIU01000210.1	w303_scaffold_26	0	26	Sequential	w303_13Apr2025_scaffold_26.genbank
JRIU01000200.1	w303_scaffold_27	0	27	Sequential	w303_13Apr2025_scaffold_27.genbank
JRIU01000190.1	w303_scaffold_28	0	28	Sequential	w303_13Apr2025_scaffold_28.genbank
JRIU01000180.1	w303_scaffold_29	0	29	Sequential	w303_13Apr2025_scaffold_29.genbank
JRIU01000170.1	w303_scaffold_30	0	30	Sequential	w303_13Apr2025_scaffold_30.genbank
JRIU01000160.1	w303_scaffold_31	0	31	Sequential	w303_13Apr2025_scaffold_31.genbank
JRIU01000150.1	w303_scaffold_32	0	32	Sequential	w303_13Apr2025_scaffold_32.genbank
JRIU01000140.1	w303_scaffold_33	0	33	Sequential	w303_13Apr2025_scaffold_33.genbank
JRIU01000130.1	w303_scaffold_34	0	34	Sequential	w303_13Apr2025_scaffold_34.genbank
JRIU01000120.1	w303_scaffold_35	0	35	Sequential	w303_13Apr2025_scaffold_35.genbank
JRIU01000110.1	w303_scaffold_36	0	36	Sequential	w303_13Apr2025_scaffold_36.genbank
JRIU01000100.1	w303_scaffold_37	0	37	Sequential	w303_13Apr2025_scaffold_37.genbank
JRIU01000090.1	w303_scaffold_38	0	38	Sequential	w303_13Apr2025_scaffold_38.genbank
JRIU01000080.1	w303_scaffold_39	0	39	Sequential	w303_13Apr2025_scaffold_39.genbank
JRIU01000070.1	w303_scaffold_40	0	40	Sequential	w303_13Apr2025_scaffold_40.genbank
JRIU01000060.1	w303_scaffold_41	0	41	Sequential	w303_13Apr2025_scaffold_41.genbank
JRIU01000050.1	w303_scaffold_42	0	42	Sequential	w303_13Apr2025_scaffold_42.genbank
JRIU01000040.1	w303_scaffold_43	0	43	Sequential	w303_13Apr2025_scaffold_43.genbank
JRIU01000030.1	w303_scaffold_44	0	44	Sequential	w303_13Apr2025_scaffold_44.genbank
JRIU01000020.1	w303_scaffold_45	0	45	Sequential	w303_13Apr2025_scaffold_45.genbank
JRIU01000010.1	w303_scaffold_46	0	46	Sequential	w303_13Apr2025_scaffold_46.genbank
JRIU01000410.1	w303_scaffold_47	0	47	Sequential	w303_13Apr2025_scaffold_47.genbank
JRIU01000400.1	w303_scaffold_48	0	48	Sequential	w303_13Apr2025_scaffold_48.genbank
JRIU01000390.1	w303_scaffold_49	0	49	Sequential	w303_13Apr2025_scaffold_49.genbank
JRIU01000380.1	w303_scaffold_50	0	50	Sequential	w303_13Apr2025_scaffold_50.genbank
